0357T,cryopreservation oocyte(s)
E8668,Accidental poisoning by other specified solid or liquid substances
E8669,Accidental poisoning by unspecified solid or liquid substance
E867,Accidental poisoning by gas distributed by pipeline
E8680,Accidental poisoning by liquefied petroleum gas distributed in mobile containers
E8681,Accidental poisoning by other and unspecified utility gas
E8682,Accidental poisoning by motor vehicle exhaust gas
E8683,Accidental poisoning by carbon monoxide from incomplete combustion of other domestic fuels
E8688,Accidental poisoning by carbon monoxide from other sources
E8689,Accidental poisoning by unspecified carbon monoxide
E8690,Accidental poisoning by nitrogen oxides
E8691,Accidental poisoning by sulfur dioxide
E8692,Accidental poisoning by freon
E8693,Accidental poisoning by lacrimogenic gas [tear gas]
E8694,Second hand tobacco smoke
E8698,Accidental poisoning by other specified gases and vapors
E8699,Accidental poisoning by unspecified gases and vapors
E8700,"Accidental cut, puncture, perforation or hemorrhage during surgical operation"
E8701,"Accidental cut, puncture, perforation or hemorrhage during infusion or transfusion"
E8702,"Accidental cut, puncture, perforation or hemorrhage during kidney dialysis or other perfusion"
E8703,"Accidental cut, puncture, perforation or hemorrhage during injection or vaccination"
E8704,"Accidental cut, puncture, perforation or hemorrhage during endoscopic examination"
E8705,"Accidental cut, puncture, perforation or hemorrhage during aspiration of fluid or tissue, puncture, and catheterization"
E8706,"Accidental cut, puncture, perforation or hemorrhage during heart catheterization"
E8707,"Accidental cut, puncture, perforation or hemorrhage during administration of enema"
E8708,"Accidental cut, puncture, perforation or hemorrhage during other specified medical care"
E8709,"Accidental cut, puncture, perforation or hemorrhage during unspecified medical care"
E8710,Foreign object left in body during surgical operation
E8711,Foreign object left in body during infusion or transfusion
E8712,Foreign object left in body during kidney dialysis or other perfusion
E8713,Foreign object left in body during injection or vaccination
E8714,Foreign object left in body during endoscopic examination
E8715,"Foreign object left in body during aspiration of fluid or tissue, puncture, and catheterization"
E8716,Foreign object left in body during heart catheterization
E8717,Foreign object left in body during removal of catheter or packing
E8718,Foreign object left in body during other specified procedures
E8719,Foreign object left in body during unspecified procedure
E8720,Failure of sterile precautions during surgical operation
E8721,Failure of sterile precautions during infusion or transfusion
E8722,Failure of sterile precautions during kidney dialysis and other perfusion
E8723,Failure of sterile precautions during injection or vaccination
E8724,Failure of sterile precautions during endoscopic examination
E8725,"Failure of sterile precautions during aspiration of fluid or tissue, puncture, and catheterization"
E8726,Failure of sterile precautions during heart catheterization
E8728,Failure of sterile precautions during other specified procedures
E8729,Failure of sterile precautions during unspecified procedure
E8730,Excessive amount of blood or other fluid during transfusion or infusion
E8731,Incorrect dilution of fluid during infusion
E8732,Overdose of radiation in therapy
E8733,Inadvertent exposure of patient to radiation during medical care
E8734,Failure in dosage in electroshock or insulin-shock therapy
E8735,Inappropriate [too hot or too cold] temperature in local application and packing
E8736,Nonadministration of necessary drug or medicinal substance
E8738,Other specified failure in dosage
E8739,Unspecified failure in dosage
E8740,Mechanical failure of instrument or apparatus during surgical operation
E8741,Mechanical failure of instrument or apparatus during infusion and transfusion
E8742,Mechanical failure of instrument or apparatus during kidney dialysis and other perfusion
E8743,Mechanical failure of instrument or apparatus during endoscopic examination
E8744,"Mechanical failure of instrument or apparatus during aspiration of fluid or tissue, puncture, and catheterization"
E8745,Mechanical failure of instrument or apparatus during heart catheterization
E8748,Mechanical failure of instrument or apparatus during other specified procedures
E8749,Mechanical failure of instrument or apparatus during unspecified procedure
E8750,Contaminated substance transfused or infused
E8751,Contaminated substance injected or used for vaccination
E8752,Contaminated drug or biological substance administered by other means
E8758,Misadventure to patient from other contamination
E8759,Misadventure to patient from unspecified contamination
E8760,Mismatched blood in transfusion
E8761,Wrong fluid in infusion
E8762,Failure in suture and ligature during surgical operation
E8763,Endotracheal tube wrongly placed during anesthetic procedure
E8764,Failure to introduce or to remove other tube or instrument
E8765,Performance of wrong operation (procedure) on correct patient
E8766,Performance of operation (procedure) on patient not scheduled for surgery
E8767,Performance of correct operation (procedure) on wrong side/body part
E8768,Other specified misadventures during medical care
E8769,Unspecified misadventure during medical care
E8780,"Surgical operation with transplant of whole organ causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E8781,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation"
E8782,"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E8783,"Surgical operation with formation of external stoma causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E8784,"Other restorative surgery causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E8785,"Amputation of limb(s) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E8786,"Removal of other organ (partial) (total) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E8788,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
